Chemical Name,GWP_100
"(Z)-1,1,1,4,4,4-Hexafluoro-2-butene",2.08
"1,1,1,3,3,3-Hexafluoro-2-propanol",206
"1,1,1,3,3,3-Hexafluoropropan-2-yl formate",269
"1,1,1-Trichloroethane",161
"1,1,2,2-Tetrafluoro-1-methoxyethane",328
"1,1,2,2-Tetrafluoro-1-methoxyethane",229
"1,1,2,2-Tetrafluoro-3-methoxy-propane",1.68
"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane",1260
"1,2-Dibromo-1,1,2,2-tetrafluoroethane",2170
"1,2-Dichloroethane",1.3
1-Bromopropane,0.052
"1-Butanol, 2,2,3,3,4,4,4-heptafluoro-",36.5
1-Chlorobutane,0.007
"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane",26.4
"1-Hexene, 3,3,4,4,5,5,6,6,6-nonafluoro-",0.204
"1-Octene, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-",0.162
"1-Propanol, 2,2,3,3,3-pentafluoro-",34.3
"1-Propanol, 2,2,3,3-tetrafluoro-",14.4
"1-Propene, 1,2,3,3,3-pentafluoro-, (1Z)-",0.344
"1-Propene, 1,3,3,3-tetrafluoro-, (1Z)-",0.315
"1-Propene, 1-chloro-3,3,3-trifluoro-, (1E)-",3.88
"1-Propene, 2,3,3,3-tetrafluoro-",0.501
"1H,1H,3H-Perfluorobutanol",30.5
1H-Heptafluoropropane,2980
"2,2,2-Trifluoroethanol",35.7
"2,2,2-Trifluoroethyl formate",54.8
"2,2,2-Trifluoroethyl trifluoromethyl ether",1100
"2,2-Difluoroethanol",6.18
"2-Bromo-1,1,1,2-tetrafluoroethane",201
"2-Bromo-1,1,1-trifluoroethane",177
"2-Chloro-1,1,2-trifluoro-1-methoxyethane",136
2-Chloroethyl vinyl ether,0
2-Chloropropane,0.181
"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",48.7
2-Fluoroethanol,0.53
"3,3,3-Trifluoro-1-propene",0.261
"3,3,3-Trifluoropropan-1-ol",0.62
"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol",0.533
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Nonadecafluoroundecan-1-ol",0.273
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol",0.449
3-Butenenitrile,0.002
"3-Pentanone, 1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)-",0.114
"4,4,4-Trifluorobutan-1-ol",0.049
"Acetic acid, trifluoro-, methyl ester",82.3
Bromodifluoromethane,380
Bromoethane,0.487
Butane,0.006
"Butane, 1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxy-",460
"Butane, 1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxy-",544
CFC-11,6230
CFC-112,4620
CFC-113,6520
CFC-113a,3930
CFC-114,9430
CFC-114a,7420
CFC-115,9600
CFC-12,12500
CFC-13,16200
Carbon dioxide,1
Carbon tetrachloride,2200
Carbon tetrafluoride,7380
Chloroethane,0.481
Chloroform,20.6
Chloromethane,5.54
Crotonaldehyde,0
Dibromodifluoromethane,216
Dibromomethane,1.51
Difluoro(methoxy)methane,136
Dimethyldifluoromethane,599
Enflurane,654
Ethane,0.437
"Ethane, (trifluoromethoxy)-",29.2
"Ethane, 1,1,1,2,2-pentafluoro-2-methoxy-",747
"Ethane, 1,1,1,2-tetrafluoro-2-(trifluoromethoxy)-",7520
"Ethane, 1,1,1-trifluoro-2-methoxy-",2.06
"Ethane, 1,1-dichloro-1,2-difluoro-",342
"Ethane, 1,1-difluoro-2-(trifluoromethoxy)-",934
"Ethane, 1,2-dichloro-1-fluoro-",46.6
"Ethane, 1-ethoxy-1,1,2,2-tetrafluoro-",12.5
"Ethane, 2-(difluoromethoxy)-1,1,1,2-tetrafluoro-, (+-)-",2590
"Ethane, 2-(difluoromethoxy)-1,1,1-trifluoro-",878
"Ethene, (2,2,2-trifluoroethoxy)-",0.058
Ethyl nonafluorobutyl ether,60.7
Ethyl trifluoroacetate,1.58
Ethylene dibromide,1.02
HCFC-121,58.3
HCFC-122,56.4
HCFC-122a,245
HCFC-123,90.4
HCFC-123a,395
HCFC-124,597
HCFC-124a,2070
HCFC-132,122
HCFC-133a,388
HCFC-141b,860
HCFC-142b,2300
HCFC-21,160
HCFC-22,1960
HCFC-225ca,137
HCFC-225cb,568
HCFC-31,79.4
HFC-125,3740
HFC-134,1260
HFC-1345zfc,0.182
HFC-134a,1530
HFC-143,364
HFC-143a,5810
HFC-152,21.5
HFC-152a,164
HFC-161,4.84
HFC-227ea,3600
HFC-23,14600
HFC-236cb,1350
HFC-236ea,1500
HFC-236fa,8690
HFC-245ca,787
HFC-245cb,4550
HFC-245ea,255
HFC-245eb,325
HFC-245fa,962
HFC-32,771
HFC-329p,2890
HFC-365mfc,914
HFC-41,135
HFC-4310mee,1600
HFE 7100,460
HFE 7100,544
HFE-329mcc2,3770
HFE-329me3,4390
HFE-338mcf2,1040
HFE-338mmz1,3040
HFE-338pcc13 (HG-01),3320
HFE-347mcf2,963
HFE-347mmy1,392
HFE-347pcf2,980
HFE-356mec3,264
HFE-356mff2,24.4
HFE-356mmz1,8.13
HFE-356pcc3,277
HFE-356pcf2,831
HFE-356pcf3,484
HFE-365mcf3,1.6
HG'-01,202
HG'-02,328
HG'-02,229
HG'-03,219
HG-02,5730
HG-03,5350
HG-30,3220
Halon 1011,4.74
Halon 1211,1930
Halon 1301,7200
Halothane,45
"Hexafluoro-1,3-butadiene",0.004
Hexafluoroethane,12400
Hexafluoropropene,0.09
Isoflurane,539
Methane,27.9
"Methane, (difluoromethoxy)trifluoro-",14300
"Methane, bis(difluoromethoxy)difluoro-",6060
"Methane, oxybis[difluoro-",6630
"Methane, trifluoromethoxy-",616
Methyl bromide,2.43
Methyl vinyl ketone,0
Methylene chloride,11.2
Nitrogen trifluoride,17400
Nitrous oxide,273
Octafluorocyclopentene,78.1
Octamethylcyclotetrasiloxane,0.739
"Octane, octadecafluoro-",8260
Perfluorobut-1-ene,0.102
Perfluorobut-2-ene,1.97
Perfluorobutane,10000
Perfluorocyclobutane,10200
Perfluorodecalin,7480
Perfluorodecalin,7800
Perfluorodecalin,7120
Perfluorodecalin (cis),7480
Perfluorodecalin (cis),7800
Perfluorodecalin (cis),7120
Perfluorodecalin (trans),7480
Perfluorodecalin (trans),7800
Perfluorodecalin (trans),7120
Perfluoroethyl formate,597
Perfluoroheptane,8410
Perfluorohexane,8620
Perfluorooctyl Ethylene,0.141
Perfluoropentane,9220
Perfluoropropane,9290
"Propanal, 3,3,3-trifluoro-",0.025
Propane,0.02
"Propane, 1,1,1,2,2,3,3-heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-",6630
"Propane, 1,1,1,2,2,3,3-heptafluoro-3-methoxy-",576
"Propane, 1,1,1-trifluoro-",74.8
"Propane, 2-(difluoromethoxymethyl)-1,1,1,2,3,3,3-heptafluoro-",437
"Propane, 2-(ethoxydifluoromethyl)-1,1,1,2,3,3,3-heptafluoro-",34.3
Sevoflurane,195
Sulfur hexafluoride,25200
Sulfuryl fluoride,4630
Tetrachloroethylene,6.34
Tetrafluoroethene,0.004
Tribromomethane,0.25
Trichloroethylene,0.044
Trifluoro(trifluoromethoxy)ethylene,0.01
Trifluoromethyl sulfur pentafluoride,18500
Vinyl fluoride,0.024
Vinylidene fluoride,0.052